State,County Name,Population
CO,Baca County,3555
CO,Bent County,5356
CO,Boulder County,327171
CO,Broomfield County,72236
CO,Chaffee County,20661
CO,Cheyenne County,1795
CO,Clear Creek County,9586
CO,Conejos County,8143
CO,Costilla County,3921
CO,Crowley County,5696
CO,Custer County,5183
CO,Delta County,31067
CO,Denver County,735538
CO,Dolores County,2096
CO,Douglas County,360750
CO,Eagle County,54929
CO,El Paso County,728310
CO,Elbert County,27313
CO,Fremont County,47867
CO,Garfield County,60366
CO,Gilpin County,6235
CO,Grand County,15794
CO,Gunnison County,17593
CO,Hinsdale County,808
CO,Huerfano County,6883
CO,Jackson County,1389
CO,Jefferson County,583283
CO,Kiowa County,1458
CO,Kit Carson County,7121
CO,La Plata County,56564
CO,Lake County,7987
CO,Larimer County,360428
CO,Las Animas County,14420
CO,Lincoln County,5680
CO,Logan County,21974
CO,Mesa County,155603
CO,Mineral County,773
CO,Moffat County,13144
CO,Montezuma County,26408
CO,Montrose County,43322
CO,Morgan County,28941
CO,Otero County,18201
CO,Ouray County,5001
CO,Park County,18955
CO,Phillips County,4367
CO,Pitkin County,17894
CO,Prowers County,12106
CO,Pueblo County,169823
CO,Rio Blanco County,6342
CO,Rio Grande County,11296
CO,Routt County,25560
CO,Saguache County,6938
CO,San Juan County,748
CO,San Miguel County,8105
CO,Sedgwick County,2260
CO,Summit County,30631
CO,Teller County,25529
CO,WA County,4875
CO,Weld County,333983
CO,Yuma County,10047
CT,Fairfield County,942426
CT,Hartford County,889226
CT,Litchfield County,179610
CT,Middlesex County,161657
CT,New Haven County,851948
CT,New London County,264999
CT,Tolland County,150600
CT,Windham County,116540
DC,District of Columbia,712816
DE,Kent County,183643
DE,New Castle County,561531
DE,Sussex County,241635
FL,Alachua County,271218
FL,Baker County,29566
FL,Bay County,171322
FL,Bradford County,28593
FL,Brevard County,608459
FL,Broward County,1958105
FL,Calhoun County,14078
FL,Charlotte County,194711
FL,Citrus County,153010
FL,Clay County,221770
FL,Collier County,392973
FL,Columbia County,72654
FL,DeSoto County,38520
FL,Dixie County,17057
FL,Duval County,966728
FL,Escambia County,322364
FL,Flagler County,118451
FL,Franklin County,12201
FL,Gadsden County,45277
FL,Gilchrist County,18885
FL,Glades County,14198
FL,Gulf County,13534
FL,Hamilton County,14521
FL,Hardee County,26822
FL,Hendry County,42813
FL,Hernando County,198792
FL,Highlands County,106639
FL,Hillsborough County,1497957
FL,Holmes County,19594
FL,Indian River County,162518
FL,Jackson County,46085
FL,Jefferson County,14543
FL,Lafayette County,8482
FL,Lake County,375492
FL,Lee County,790767
FL,Leon County,295460
FL,Levy County,42214
FL,Liberty County,8364
FL,Madison County,18707
FL,Manatee County,411219
FL,Marion County,373513
FL,Martin County,162088
FL,Miami-Dade County,2707303
FL,Monroe County,73900
FL,Nassau County,91113
FL,Okaloosa County,212820
FL,Okeechobee County,42297
FL,Orange County,1404396
FL,Osceola County,385315
FL,Palm Beach County,1507600
FL,Pasco County,570412
FL,Pinellas County,976802
FL,Polk County,744552
FL,Putnam County,74815
FL,Santa Rosa County,189139
FL,Sarasota County,443465
FL,Seminole County,474171
FL,St. Johns County,278715
FL,St. Lucie County,337186
FL,Sumter County,139018
FL,Suwannee County,44851
FL,Taylor County,21600
FL,Union County,15182
FL,Volusia County,561497
FL,WA County,25932
FL,Wakulla County,34319
FL,Walton County,76648
GA,Appling County,18325
GA,Atkinson County,8393
GA,Bacon County,11036
GA,Baker County,2971
GA,Baldwin County,45099
GA,Banks County,19352
GA,Barrow County,85588
GA,Bartow County,109426
GA,Ben Hill County,16614
GA,Berrien County,19408
GA,Bibb County,152737
GA,Bleckley County,12955
GA,Brantley County,19202
GA,Brooks County,15357
GA,Bryan County,40755
GA,Bulloch County,80839
GA,Burke County,22648
GA,Butts County,25426
GA,Calhoun County,6231
GA,Camden County,55388
GA,Candler County,10985
GA,Carroll County,121633
GA,Catoosa County,67996
GA,Charlton County,13430
GA,Chatham County,289463
GA,Chattahoochee County,10551
GA,Chattooga County,24843
GA,Cherokee County,265274
GA,Clarke County,127795
GA,Clay County,2866
GA,Clayton County,292646
GA,Clinch County,6582
GA,Cobb County,762944
GA,Coffee County,43218
GA,Colquitt County,45542
GA,Columbia County,160377
GA,Cook County,17291
GA,Coweta County,150849
GA,Crawford County,12231
GA,Crisp County,22034
GA,Dade County,16057
GA,Dawson County,27113
GA,Decatur County,26457
GA,DeKalb County,762009
GA,Dodge County,20452
GA,Dooly County,13174
GA,Dougherty County,86477
GA,Douglas County,147988
GA,Early County,10037
GA,Echols County,4002
GA,Effingham County,65765
GA,Elbert County,19335
GA,Emanuel County,22507
GA,Evans County,10638
GA,Fannin County,26521
GA,Fayette County,115821
GA,Floyd County,98604
GA,Forsyth County,250847
GA,Franklin County,23504
GA,Fulton County,1077402
GA,Gilmer County,31978
GA,Glascock County,2984
GA,Glynn County,85568
GA,Gordon County,58780
GA,Grady County,24491
GA,Greene County,18837
GA,Gwinnett County,942627
GA,Habersham County,46047
GA,Hall County,206591
GA,Hancock County,8494
GA,Haralson County,30383
GA,Harris County,36080
GA,Hart County,26406
GA,Heard County,11973
GA,Henry County,239139
GA,Houston County,160110
GA,Irwin County,9387
GA,Jackson County,76199
GA,Jasper County,14483
GA,Jeff Davis County,15213
GA,Jefferson County,15267
GA,Jenkins County,8746
GA,Johnson County,9667
GA,Jones County,28787
GA,Lamar County,19261
GA,Lanier County,10737
GA,Laurens County,47512
GA,Lee County,30234
GA,Liberty County,63004
GA,Lincoln County,8031
GA,Long County,20171
GA,Lowndes County,118268
GA,Lumpkin County,34186
GA,Macon County,12712
GA,Madison County,30457
GA,Marion County,8516
GA,McDuffie County,21162
GA,McIntosh County,14387
GA,Meriwether County,21164
GA,Miller County,5622
GA,Mitchell County,21602
GA,Monroe County,28042
GA,Montgomery County,9012
GA,Morgan County,19636
GA,Murray County,40032
GA,Muscogee County,196442
GA,Newton County,113295
GA,Oconee County,41124
GA,Oglethorpe County,15383
GA,Paulding County,173359
GA,Peach County,27950
GA,Pickens County,33127
GA,Pierce County,19522
GA,Pike County,19121
GA,Polk County,42840
GA,Pulaski County,11191
GA,Putnam County,22520
GA,Quitman County,2271
GA,Rabun County,17273
GA,Randolph County,6682
GA,Richmond County,202079
GA,Rockdale County,90939
GA,Schley County,5196
GA,Screven County,14012
GA,Seminole County,8060
GA,Spalding County,67414
GA,Stephens County,26107
GA,Stewart County,6689
GA,Sumter County,29282
GA,Talbot County,6143
GA,Taliaferro County,1562
GA,Tattnall County,25365
GA,Taylor County,8074
GA,Telfair County,15781
GA,Terrell County,8523
GA,Thomas County,44372
GA,Tift County,40719
GA,Toombs County,26973
GA,Towns County,12247
GA,Treutlen County,6822
GA,Troup County,70214
GA,Turner County,7882
GA,Twiggs County,8103
GA,Union County,25358
GA,Upson County,26527
GA,WA County,20150
GA,Walker County,70116
GA,Walton County,96875
GA,Ware County,35826
GA,Warren County,5232
GA,Wayne County,30023
GA,Webster County,2595
GA,Wheeler County,7751
GA,White County,31094
GA,Whitfield County,103837
GA,Wilcox County,8502
GA,Wilkes County,9694
GA,Wilkinson County,8812
GA,Worth County,19972
HI,Hawaii County,203340
HI,Honolulu County,963826
HI,Kalawao County,87
HI,Kauai County,71851
HI,Maui County,167902
IA,Adair County,7059
IA,Adams County,3588
IA,Allamakee County,13642
IA,Appanoose County,12430
IA,Audubon County,5481
IA,Benton County,25414
IA,Black Hawk County,130786
IA,Boone County,26277
IA,Bremer County,25311
IA,Buchanan County,21287
IA,Buena Vista County,19772
IA,Butler County,14333
IA,Calhoun County,9473
IA,Carroll County,19914
IA,Cass County,12817
IA,Cedar County,18485
IA,Cerro Gordo County,42103
IA,Cherokee County,11190
IA,Chickasaw County,11834
IA,Clarke County,9353
IA,Clay County,15976
IA,Clayton County,17321
IA,Clinton County,46392
IA,Crawford County,16834
IA,Dallas County,96963
IA,Davis County,9051
IA,Decatur County,7769
IA,Delaware County,16937
IA,Des Moines County,38708
IA,Dickinson County,17549
IA,Dubuque County,97590
IA,Emmet County,9095
IA,Fayette County,19258
IA,Floyd County,15480
IA,Franklin County,9971
IA,Fremont County,6729
IA,Greene County,8795
IA,Grundy County,12217
IA,Guthrie County,10737
IA,Hamilton County,14716
IA,Hancock County,10507
IA,Hardin County,16575
IA,Harrison County,13928
IA,Henry County,19697
IA,Howard County,9176
IA,Humboldt County,9473
IA,Ida County,6833
IA,Iowa County,16138
IA,Jackson County,19205
IA,Jasper County,37148
IA,Jefferson County,18347
IA,Johnson County,153740
IA,Jones County,20617
IA,Keokuk County,10085
IA,Kossuth County,14680
IA,Lee County,33480
IA,Linn County,227854
IA,Louisa County,11011
IA,Lucas County,8518
IA,Lyon County,11756
IA,Madison County,16521
IA,Mahaska County,22370
IA,Marion County,33168
IA,Marshall County,39495
IA,Mills County,14766
IA,Mitchell County,10647
IA,Monona County,8598
IA,Monroe County,7770
IA,Montgomery County,9935
IA,Muscatine County,42394
IA,O'Brien County,13679
IA,Osceola County,5987
IA,Page County,15073
IA,Palo Alto County,8845
IA,Plymouth County,25219
IA,Pocahontas County,6607
IA,Polk County,494281
IA,Pottawattamie County,93328
IA,Poweshiek County,18381
IA,Ringgold County,4801
IA,Sac County,9603
IA,Scott County,173216
IA,Shelby County,11430
IA,Sioux County,35043
IA,Story County,98237
IA,Tama County,16801
IA,Taylor County,6092
IA,Union County,12157
IA,Van Buren County,7069
IA,WA County,21992
IA,Wapello County,34985
IA,Warren County,52265
IA,Wayne County,6415
IA,Webster County,35934
IA,Winnebago County,10277
IA,Winneshiek County,19862
IA,Woodbury County,103138
IA,Worth County,7359
IA,Wright County,12416
ID,Ada County,494399
ID,Adams County,4447
ID,Bannock County,88795
ID,Bear Lake County,6143
ID,Benewah County,9430
ID,Bingham County,47202
ID,Blaine County,23426
ID,Boise County,8065
ID,Bonner County,46817
ID,Bonneville County,122134
ID,Boundary County,12656
ID,Butte County,2646
ID,Camas County,1130
ID,Canyon County,237053
ID,Caribou County,7123
ID,Cassia County,24277
ID,Clark County,852
ID,Clearwater County,8846
ID,Custer County,4249
ID,Elmore County,27448
ID,Franklin County,14215
ID,Fremont County,13218
ID,Gem County,18703
ID,Gooding County,15618
ID,Idaho County,16823
ID,Jefferson County,30581
ID,Jerome County,24578
ID,Kootenai County,170628
ID,Latah County,40830
ID,Lemhi County,8054
ID,Lewis County,3838
ID,Lincoln County,5358
ID,Madison County,40318
ID,Minidoka County,21216
ID,Nez Perce County,40755
ID,Oneida County,4520
ID,Owyhee County,12133
ID,Payette County,24771
ID,Power County,7643
ID,Shoshone County,12911
ID,Teton County,12501
ID,Twin Falls County,88411
ID,Valley County,11792
ID,Washington County,10360
IL,Adams County,64783
IL,Alexander County,5497
IL,Bond County,16262
IL,Boone County,52777
IL,Brown County,6546
IL,Bureau County,32303
IL,Calhoun County,4616
IL,Carroll County,14241
IL,Cass County,11925
IL,Champaign County,209192
IL,Christian County,32075
IL,Clark County,15268
IL,Clay County,13079
IL,Clinton County,37398
IL,Coles County,50383
IL,Cook County,5108284
IL,Crawford County,18512
IL,Cumberland County,10649
IL,De Witt County,15368
IL,DeKalb County,104491
IL,Douglas County,19510
IL,DuPage County,917481
IL,Edgar County,16858
IL,Edwards County,6356
IL,Effingham County,34065
IL,Fayette County,21264
IL,Ford County,12949
IL,Franklin County,38060
IL,Fulton County,33690
IL,Gallatin County,4793
IL,Greene County,12702
IL,Grundy County,50993
IL,Hamilton County,8084
IL,Hancock County,17422
IL,Hardin County,3808
IL,Henderson County,6535
IL,Henry County,48411
IL,Iroquois County,26711
IL,Jackson County,56675
IL,Jasper County,9465
IL,Jefferson County,37235
IL,Jersey County,21616
IL,Jo Daviess County,21239
IL,Johnson County,12358
IL,Kane County,531010
IL,Kankakee County,108594
IL,Kendall County,130638
IL,Knox County,49053
IL,Lake County,693593
IL,LaSalle County,107571
IL,Lawrence County,15467
IL,Lee County,33647
IL,Livingston County,35414
IL,Logan County,28383
IL,Macon County,103015
IL,Macoupin County,44567
IL,Madison County,262635
IL,Marion County,37045
IL,Marshall County,11309
IL,Mason County,13173
IL,Massac County,13636
IL,McDonough County,29295
IL,McHenry County,305888
IL,McLean County,171256
IL,Menard County,12068
IL,Mercer County,15225
IL,Monroe County,34739
IL,Montgomery County,28045
IL,Morgan County,33400
IL,Moultrie County,14347
IL,Ogle County,50306
IL,Peoria County,177652
IL,Perry County,20664
IL,Piatt County,16355
IL,Pike County,15239
IL,Pope County,4142
IL,Pulaski County,5201
IL,Putnam County,5716
IL,Randolph County,31351
IL,Richland County,15507
IL,Rock Island County,140907
IL,Saline County,23182
IL,Sangamon County,193882
IL,Schuyler County,6738
IL,Scott County,4950
IL,Shelby County,21299
IL,St. Clair County,258046
IL,Stark County,5262
IL,Stephenson County,43831
IL,Tazewell County,130777
IL,Union County,16498
IL,Vermilion County,74855
IL,Wabash County,11190
IL,Warren County,16696
IL,Washington County,13764
IL,Wayne County,16031
IL,White County,13364
IL,Whiteside County,54656
IL,Will County,688726
IL,Williamson County,66415
IL,Winnebago County,281295
IL,Woodford County,38091
IN,Adams County,35839
IN,Allen County,382187
IN,Bartholomew County,84447
IN,Benton County,8741
IN,Blackford County,11782
IN,Boone County,69347
IN,Brown County,15112
IN,Carroll County,20228
IN,Cass County,37388
IN,Clark County,119266
IN,Clay County,26246
IN,Clinton County,32206
IN,Crawford County,10629
IN,Daviess County,33505
IN,Dearborn County,49824
IN,Decatur County,26584
IN,DeKalb County,43670
IN,Delaware County,113454
IN,Dubois County,42542
IN,Elkhart County,206161
IN,Fayette County,22892
IN,Floyd County,78936
IN,Fountain County,16511
IN,Franklin County,22761
IN,Fulton County,20018
IN,Gibson County,33825
IN,Grant County,65225
IN,Greene County,32203
IN,Hamilton County,344238
IN,Hancock County,79553
IN,Harrison County,40682
IN,Hendricks County,173251
IN,Henry County,48033
IN,Howard County,82732
IN,Huntington County,36395
IN,Jackson County,44222
IN,Jasper County,33440
IN,Jay County,20416
IN,Jefferson County,32110
IN,Jennings County,27515
IN,Johnson County,160607
IN,Knox County,36522
IN,Kosciusko County,78988
IN,LaGrange County,40119
IN,Lake County,487536
IN,LaPorte County,109663
IN,Lawrence County,45496
IN,Madison County,129681
IN,Marion County,966183
IN,Marshall County,46108
IN,Martin County,10079
IN,Miami County,35328
IN,Monroe County,148219
IN,Montgomery County,38365
IN,Morgan County,70707
IN,Newton County,13907
IN,Noble County,47832
IN,Ohio County,5892
IN,Orange County,19651
IN,Owen County,20833
IN,Parke County,16871
IN,Perry County,19154
IN,Pike County,12378
IN,Porter County,170980
IN,Posey County,25275
IN,Pulaski County,12388
IN,Putnam County,37469
IN,Randolph County,24191
IN,Ripley County,28448
IN,Rush County,16649
IN,Scott County,23788
IN,Shelby County,44871
IN,Spencer County,20225
IN,St. Joseph County,271484
IN,Starke County,23049
IN,Steuben County,34831
IN,Sullivan County,20578
IN,Switzerland County,10724
IN,Tippecanoe County,196115
IN,Tipton County,15227
IN,Union County,7119
IN,Vanderburgh County,182447
IN,Vermillion County,15329
IN,Vigo County,106608
IN,WA County,28213
IN,Wabash County,30784
IN,Warren County,8194
IN,Warrick County,63269
IN,Wayne County,65778
